year,count,type
2005,681,bn
2006,695,bn
2007,713,bn
2008,726,bn
2009,726,bn
2010,720,bn
2011,705,bn
2012,691,bn
2013,675,bn
2014,661,bn
2015,648,bn
2016,640,bn
2017,633,bn
2018,630,bn
2019,627,bn
2020,200,bn
2009,1401,IndCom
2010,1410,IndCom
2011,1512,IndCom
2012,1567,IndCom
2013,1632,IndCom
2014,1664,IndCom
2015,1712,IndCom
2016,1775,IndCom
2017,1757,IndCom
2018,1835,IndCom
2019,1887,IndCom
2009,1651,IndLoc
2010,1660,IndLoc
2011,1823,IndLoc
2012,1900,IndLoc
2013,1971,IndLoc
2014,2094,IndLoc
2015,2227,IndLoc
2016,2311,IndLoc
2017,2321,IndLoc
2018,2470,IndLoc
2019,2524,IndLoc