sex,avebooks,readprint,readaudio,readebook
Female,45,1,0,0
Male,16,2,0,1
Female,3,1,0,0
Male,20,1,0,0
Male,12,1,0,0
Female,7,2,0,1
Male,22,2,0,1
Male,37,1,0,1
Male,6,2,1,0
Female,26,5,0,0
Male,7,9,0,2
Male,5,1,0,0
Female,4,1,0,0
Male,8,1,0,0
Male,51,1,0,0
Male,4,1,0,0
Female,0,1,0,0
Female,10,2,0,0
Male,50,1,0,0
Female,8,3,1,1
Male,13,2,0,0
Female,6,3,1,0
Male,12,3,0,1
Female,30,1,0,0
Female,25,3,1,1
Male,15,4,2,1
Female,26,3,1,0
Female,30,16,1,2
Male,12,10,0,3
Male,4,1,0,0
Female,20,1,0,0
Female,11,2,0,1
Male,10,1,0,1
Female,70,1,0,0
Male,2,1,0,0
Female,26,3,0,2
Female,5,1,0,1
Female,5,1,0,0
Male,6,1,0,0
Male,5,2,0,0
Female,7,1,0,0
Female,33,3,0,1
Male,2,3,0,0
Female,3,1,0,0
Male,52,2,0,1
Female,11,2,0,1
Male,6,3,1,0
Female,16,2,0,0
Male,4,2,0,1
Female,20,2,0,1
Male,3,3,1,0
Male,15,1,0,1
Male,1,2,0,1
Female,30,1,1,1
Male,1,1,1,0
Female,5,0,0,0
Female,10,1,0,0
Male,16,2,0,0
Female,1,1,0,0
Male,10,2,0,2
Male,9,3,0,1
Male,12,1,0,1
Male,9,2,0,2
Female,6,1,0,0
Female,36,3,0,0
Male,6,4,1,2
Female,5,2,0,0
Male,4,1,0,0
Female,34,2,1,0
Male,1,1,0,0
Male,3,1,0,0
Male,3,1,0,1
Female,39,3,0,1
Male,14,2,1,0
Female,4,1,0,0
Male,13,3,1,2
Female,20,1,0,1
Male,50,1,0,1
Male,10,5,1,3
Female,11,2,0,1
Male,20,2,0,1
Female,36,2,1,1
Male,12,1,0,0
Female,15,1,0,0
Female,20,1,0,0
Male,5,1,1,1
Female,10,1,0,1
Male,2,1,0,0
Female,8,2,1,2
Female,5,1,0,0
Female,7,1,0,0
Female,50,1,0,0
Female,12,1,0,0
Male,51,2,0,1
Female,5,2,0,0
Male,48,3,0,0
Female,21,2,0,0
Female,9,3,0,1
Male,15,2,0,2
Female,30,4,0,1
Male,14,3,0,1
Female,4,1,0,0
Male,10,1,0,0
Female,19,4,0,1
Male,11,3,0,2
Female,9,2,1,0
Female,7,2,0,0
Male,9,3,1,0
Female,33,2,0,0
Male,6,2,1,0
Female,20,1,1,0
Female,26,2,0,2
Male,8,2,0,1
Male,17,4,0,2
Female,7,2,0,1
Male,9,2,2,1
Female,83,2,1,0
Male,25,0,0,1
Male,3,1,0,0
Female,15,1,0,0
Female,51,2,0,0
Male,5,0,0,1
Female,8,2,0,1
Female,30,1,0,1
Male,20,2,0,2
Female,50,6,0,3
Male,20,4,2,1
Female,2,1,0,0
Male,97,1,1,1
Female,20,1,0,0
Male,97,1,0,0
Male,18,2,0,0
Female,10,1,0,1
Female,6,2,0,1
Female,8,1,0,1
Male,40,1,0,1
Female,30,1,0,1
Male,2,1,0,0
Female,20,1,1,1
Female,3,1,0,0
Male,7,1,0,0
Male,97,1,0,1
Male,2,1,0,0
Female,12,1,0,0
Male,12,0,0,0
Female,30,1,1,0
Female,1,0,0,1
Male,25,1,0,1
Female,10,1,0,0
Female,2,1,0,0
Male,30,1,0,0
Female,5,1,0,0
Male,4,4,0,0
Male,60,1,1,0
Female,36,1,0,0
Male,3,1,0,0
Male,10,1,0,0
Female,8,4,0,0
Male,4,2,1,1
Female,1,0,0,0
Male,16,1,0,0
Female,30,1,0,0
Female,3,1,1,1
Female,25,1,0,0
Male,30,1,0,1
Female,5,1,0,0
Male,30,1,0,1
Male,2,1,0,0
Male,52,2,0,0
Male,9,1,1,0
Female,3,1,0,0
Male,3,1,0,0
Female,3,1,0,0
Male,1,1,0,0
Male,1,0,0,0
Male,30,1,0,1
Female,40,0,0,0
Male,5,1,0,0
Female,4,1,0,0
Female,12,1,0,1
Female,6,1,0,0
Male,7,1,0,0
Female,97,1,0,1
Female,1,1,0,0
Female,15,1,0,0
Female,10,1,0,0
Male,7,0,0,1
Female,5,0,0,0
Male,35,1,0,0
Female,3,0,0,0
Male,2,1,1,0
Female,3,1,0,0
Female,97,1,0,0
Male,40,1,0,0
Male,3,2,3,1
Female,5,1,0,0
Female,45,1,0,1
Male,4,1,0,0
Female,3,1,0,0
Male,4,1,0,0
Male,3,1,0,1
Female,3,2,1,2
Female,5,1,0,0
Female,30,1,1,0
Male,30,1,0,0
Female,13,1,0,0
Female,20,1,0,1
Female,4,1,0,0
Male,10,1,0,1
Female,6,1,0,0
Male,1,0,0,1
Female,97,1,1,0
Male,3,1,0,1
Female,20,1,1,1
Female,30,0,1,0
Male,12,1,0,0
Female,20,1,0,0
Male,20,1,0,1
Female,4,1,0,0
Male,38,1,1,1
Female,10,1,0,1
Male,5,1,0,1
Male,8,1,0,1
Male,3,1,0,0
Male,20,1,0,1
Male,75,1,0,1
Male,1,0,0,0
Female,10,0,0,1
Male,24,1,0,0
Male,2,1,0,0
Female,4,1,0,0
Male,50,1,0,0
Female,10,0,0,0
Female,5,0,0,0
Female,30,1,0,0
Female,12,1,0,0
Male,12,2,0,1
Female,10,1,0,0
Male,7,1,1,1
Female,5,1,0,1
Male,4,1,0,0
Male,5,2,0,2
Female,20,1,0,0
Male,20,1,0,1
Female,5,1,0,1
Male,2,1,0,0
Male,40,1,0,0
Male,50,1,0,1
Female,4,1,0,0
Female,5,1,0,0
Female,11,2,0,2
Male,1,1,0,0
Male,27,2,0,0
Male,20,1,0,0
Female,12,1,0,1
Male,6,1,1,1
Male,5,1,0,0
Female,6,2,0,0
Female,3,1,1,1
Female,3,0,0,1
Male,5,0,0,0
Female,10,1,0,0
Male,3,1,1,0
Male,7,1,0,1
Male,8,2,0,1
Female,4,2,0,0
Male,2,1,0,0
Female,25,1,0,0
Male,30,1,0,1
Female,3,1,1,1
Female,2,1,0,0
Female,30,1,0,1
Female,5,1,0,0
Male,47,1,0,1
Male,48,1,0,0
Male,50,1,1,1
Female,2,1,0,0
Female,4,3,0,0
Female,5,1,0,0
Male,50,1,0,0
Male,5,0,1,1
Male,1,1,0,0
Male,30,2,1,1
Male,10,1,0,0
Female,7,2,0,1
Female,30,1,0,1
Female,2,1,0,0
Male,1,1,0,0
Female,20,3,1,0
Male,3,3,0,1
Female,5,4,0,2
Male,20,5,1,1
Female,12,1,0,0
Male,8,5,1,2
Male,9,2,1,2
Female,5,2,0,0
Male,4,2,0,0
Female,7,2,0,0
Male,1,1,0,0
Male,48,1,0,1
Female,8,1,0,0
Female,97,1,0,0
Male,1,2,0,0
Female,1,1,0,0
Female,5,2,0,0
Male,2,1,0,0
Female,5,1,0,0
Female,97,1,0,1
Female,19,2,0,1
Male,25,1,1,1
Female,2,1,0,0
Female,10,1,0,0
Female,22,3,0,0
Male,17,2,0,0
Female,8,4,0,1
Male,5,2,0,1
Female,11,5,0,2
Male,7,6,4,3
Female,23,5,1,4
Male,7,9,3,4
Female,18,7,0,4
Male,11,7,2,3
Female,12,3,1,2
Male,4,3,0,1
Female,8,2,1,1
Female,30,1,0,1
Male,40,1,0,1
Female,5,1,0,0
Male,3,1,0,0
Female,5,1,0,0
Female,15,5,2,4
Female,16,3,1,2
Female,19,2,1,2
Female,22,2,0,1
Male,97,1,0,0
Male,97,1,1,1
Female,17,2,0,0
Female,3,1,0,0
Male,20,2,0,0
Female,3,1,0,0
Female,1,0,1,1
Male,2,1,0,1
Female,33,3,1,2
Female,6,2,0,1
Male,15,1,0,0
Female,41,3,0,2
Male,4,1,0,1
Female,1,1,0,0
Female,7,4,0,1
Male,18,13,3,4
Female,20,1,0,1
Male,14,3,1,2
Female,30,2,2,2
Male,20,1,0,1
Male,50,1,1,1
Male,1,1,1,1
Male,30,1,0,0
Female,2,1,0,0
Male,4,1,0,0
Female,16,5,1,3
Male,5,1,0,0
Female,97,1,0,1
Female,10,1,0,0
Female,20,0,0,1
Male,20,1,0,1
Female,25,1,0,0
Male,10,1,0,0
Female,13,1,0,0
Female,50,2,1,1
Female,18,2,1,1
Female,2,1,0,0
Female,10,1,1,1
Female,22,2,0,0
Male,8,3,1,0
Female,57,3,0,2
Male,19,4,4,3
Female,33,7,2,3
Male,21,7,2,6
Female,13,7,1,3
Male,14,12,5,11
Male,13,3,0,1
Female,29,3,2,1
Female,8,1,0,1
Female,8,1,1,0
Male,1,1,0,0
Female,50,1,1,1
Male,15,1,1,1
Male,6,1,0,0
Male,12,1,0,0
Male,1,1,0,0
Female,2,1,0,0
Male,3,1,0,0
Male,3,1,0,0
Female,5,1,0,1
Male,3,1,0,0
Male,6,1,0,0
Male,5,1,1,1
Female,48,1,0,1
Female,8,0,0,1
Male,4,1,0,0
Female,45,1,0,0
Female,1,1,0,0
Female,20,1,0,0
Male,5,1,0,0
Male,6,1,0,1
Male,9,1,0,0
Female,4,2,0,1
Male,4,1,0,0
Male,6,1,0,0
Male,4,1,0,0
Female,5,0,0,0
Female,15,1,0,1
Male,30,1,1,0
Male,3,1,0,0
Female,6,3,0,1
Male,30,1,0,1
Female,7,1,0,0
Male,12,3,0,1
Male,2,1,0,0
Female,2,1,0,0
Female,5,1,1,1
Female,5,0,0,1
Male,20,1,0,0
Male,24,1,0,1
Male,3,2,0,0
Female,4,1,0,0
Female,8,2,0,0
Female,50,1,0,0
Female,11,2,1,1
Female,6,1,0,1
Male,6,1,0,0
Female,12,1,0,0
Female,1,1,0,0
Male,20,1,0,0
Female,2,1,0,0
Male,97,0,1,1
Male,2,1,0,0
Male,97,1,0,1
Male,2,1,0,1
Male,6,2,0,0
Female,10,1,1,1
Female,20,0,1,0
Male,12,1,0,0
Male,6,1,0,1
Male,1,1,0,0
Female,4,0,1,1
Female,1,1,0,0
Female,15,1,1,0
Male,5,2,1,1
Female,3,1,1,0
Male,55,1,1,1
Female,3,1,0,0
Male,3,1,0,0
Male,60,1,0,0
Female,6,1,0,1
Female,25,1,0,1
Female,50,1,0,0
Female,3,1,0,1
Male,30,1,1,0
Female,10,0,0,0
Female,5,1,1,1
Male,3,0,0,1
Male,2,1,0,0
Female,3,1,1,1
Male,3,0,0,1
Female,15,1,0,0
Male,4,1,0,0
Female,7,1,0,0
Male,8,1,0,0
Female,15,1,1,1
Male,4,1,1,2
Female,15,2,0,2
Male,16,1,0,1
Female,3,0,1,1
Male,1,1,0,0
Male,50,1,0,0
Male,25,1,0,1
Male,2,0,0,1
Female,4,1,0,0
Female,6,0,0,1
Female,15,1,1,1
Female,30,1,1,1
Female,15,1,0,0
Female,10,1,0,0
Male,12,1,1,0
Female,2,1,0,0
Male,1,1,0,0
Male,3,1,0,0
Female,4,0,0,1
Female,0,1,0,0
Female,6,1,0,0
Female,12,1,1,1
Male,4,1,0,0
Male,6,1,1,0
Male,5,1,0,0
Female,48,1,0,0
Female,30,1,1,1
Female,1,1,0,0
Male,3,1,0,0
Female,54,1,0,1
Female,5,1,0,0
Male,0,1,1,0
Male,2,0,0,0
Female,7,2,0,1
Male,11,2,0,0
Female,6,2,2,0
Male,4,4,0,0
Female,11,7,1,1
Male,1,0,0,1
Female,22,3,0,2
Male,6,3,1,0
Female,5,0,0,0
Male,4,7,1,2
Female,15,2,0,0
Male,32,1,0,0
Female,3,1,0,0
Male,15,1,0,0
Male,50,1,0,0
Female,10,1,0,0
Female,5,1,0,0
Female,25,1,0,0
Female,15,1,0,1
Male,24,1,0,1
Female,5,1,0,0
Female,97,1,0,0
Male,15,2,1,1
Male,25,1,0,0
Male,4,1,0,0
Female,39,4,0,3
Male,4,1,0,0
Female,10,1,0,1
Female,15,0,0,0
Female,6,2,0,0
Female,5,4,0,0
Female,1,1,0,0
Female,27,2,0,0
Female,26,4,1,1
Male,3,1,0,0
Female,15,3,0,2
Male,31,2,0,0
Female,4,1,0,0
Male,6,3,2,2
Female,4,6,1,1
Male,15,7,2,1
Female,24,9,2,7
Male,15,21,2,13
Female,12,3,1,1
Male,8,2,1,0
Female,4,1,1,1
Female,50,1,1,0
Female,15,2,1,1
Male,25,1,0,0
Male,20,1,0,0
Female,40,6,3,3
Male,6,1,1,0
Female,5,1,0,0
Male,97,1,0,1
Female,5,1,0,0
Male,17,2,0,1
Male,35,2,2,1
Male,6,1,0,0
Female,7,3,1,0
Female,40,3,1,1
Female,24,1,0,0
Male,6,1,0,0
Male,1,1,0,0
Female,16,3,1,1
Male,4,2,0,0
Female,5,1,0,0
Male,27,2,0,0
Female,84,1,0,0
Male,22,5,1,2
Female,26,6,1,4
Male,9,5,1,2
Female,5,9,0,2
Male,9,8,1,3
Female,13,4,1,1
Male,2,3,0,1
Female,7,1,0,0
Female,37,2,1,2
Female,5,1,1,1
Female,5,1,0,0
Female,10,0,0,0
Female,15,1,0,0
Female,22,5,3,2
Male,6,1,0,0
Female,1,1,0,0
Female,3,1,0,1
Male,5,1,0,1
Female,14,3,1,3
Male,30,4,1,2
Female,15,6,0,3
Male,9,3,1,4
Female,22,17,1,12
Male,16,22,7,10
Female,75,1,1,1
Male,17,5,2,1
Female,50,1,0,1
Male,4,1,0,0
Female,35,1,0,1
Female,10,1,0,0
Female,13,2,0,1
Female,35,2,0,0
Female,7,1,0,1
Male,6,0,0,1
Male,10,1,0,0
Male,25,0,0,0
Female,7,2,1,0
Male,10,1,0,1
Female,10,1,0,1
Male,6,1,0,0
Male,2,1,0,0
Male,1,1,0,0
Female,25,1,0,0
Female,12,1,0,0
Male,8,1,0,0
Male,96,1,0,0
Female,3,1,0,1
Male,2,1,0,0
Female,6,1,0,0
Male,2,1,0,0
Male,5,1,0,0
Female,13,1,0,0
Male,10,2,1,1
Female,3,1,0,0
Male,1,1,0,0
Male,1,0,0,0
Male,7,1,1,0
Female,6,2,0,1
Female,10,1,0,1
Female,3,1,0,0
Male,7,2,0,0
Female,60,1,1,1
Male,7,3,0,1
Female,3,1,1,0
Female,50,1,0,1
Female,7,1,0,0
Male,5,1,1,1
Female,6,1,0,0
Male,8,2,0,0
Male,2,1,0,0
Female,3,2,1,0
Female,3,1,0,0
Male,10,1,1,1
Female,6,1,0,0
Male,10,1,0,0
Female,4,1,0,0
Female,10,1,0,1
